Manzana	Lote	Superficie Privativa	Estatus	Categoría	Precio m2
A	1	 1,000.00 	DISPONIBLE	Plus	355
	2	 1,000.00 	APARTADO	Plus	355
	3	 1,000.00 	VENDIDO	Plus	355
	4	 1,739.11 	DISPONIBLE	Plus	355
	5	 1,660.23 	DISPONIBLE	Plus	355
	6	 1,000.18 	APARTADO	Plus	355
	7	 1,737.56 	DISPONIBLE	Plus	355
	8	 1,004.43 	DISPONIBLE	Plus	355
	9	 1,000.39 	DISPONIBLE	Plus	355
	10	 1,000.39 	DISPONIBLE	Plus	355
	11	 1,000.39 	DISPONIBLE	Plus	355
	12	 1,000.39 	DISPONIBLE	Plus	355
	13	 1,000.39 	DISPONIBLE	Plus	355
	14	 1,000.39 	DISPONIBLE	Plus	355
	15	 1,000.00 	DISPONIBLE	Plus	355
	16	 1,000.01 	DISPONIBLE	Plus	355
	17	 1,000.02 	DISPONIBLE	Plus	355
	18	 1,000.03 	VENDIDO	Plus	355
	19	 1,000.00 	VENDIDO	Plus	355
	20	 1,000.00 	VENDIDO	Plus	355
	21	 1,000.06 	APARTADO	Plus	355
	22	 1,000.06 	VENDIDO	Plus	355
	23	 1,000.07 	RESERVADO	Plus	355
	24	 1,000.08 	RESERVADO	Plus	355
	25	 1,000.09 	RESERVADO	Plus	355
	26	 1,000.09 	RESERVADO	Plus	355
	27	 1,000.29 	RESERVADO	Plus	355
	28	 1,088.39 	RESERVADO	Plus	355
	29	 1,369.76 	RESERVADO	Plus	355
	30	 13,054.96 	RESERVADO		
B	1	 2,302.84 	RESERVADO	Plus	355
	2	 1,000.00 	VENDIDO	Plus	355
	3	 1,000.00 	VENDIDO	Plus	355
	4	 2,049.53 	APARTADO	Plus	355
	5	 1,022.17 	APARTADO	Plus	355
	6	 1,275.56 	VENDIDO	Plus	355
	7	 1,062.31 	VENDIDO	Plus	355
	8	 1,008.43 	VENDIDO	Plus	355
	9	 1,048.30 	RESERVADO	Plus	355
	10	 1,473.25 	VENDIDO	Plus	355
	11	 1,373.48 	VENDIDO	Plus	355
	12	 1,357.27 	DISPONIBLE	Plus	355
	13	 1,031.59 	VENDIDO	Plus	355
	14	 1,000.28 	VENDIDO	Plus	355
	15	 1,157.25 	APARTADO	Plus	355
	16	 1,029.40 	APARTADO	Plus	355
	17	 1,000.98 	VENDIDO	Plus	355
	18	 1,045.26 	VENDIDO	Plus	355
	19	 1,059.17 	APARTADO	Plus	355
	20	 1,052.95 	VENDIDO	Plus	355
	21	 1,062.17 	VENDIDO	Plus	355
	22	 1,140.78 	VENDIDO	Plus	355
	23	 4,640.10 	VENDIDO	Plus	355
	24	 7,157.06 	DISPONIBLE	Plus	355
	25	 5,818.51 	DISPONIBLE	Plus	355
C	1	 2,078.27 	RESERVADO	Media Plus	295
	2	 1,843.22 	RESERVADO	Media Plus	295
	3	 1,515.44 	APARTADO	Media Plus	295
D	1	 1,168.79 	VENDIDO	Plus	355
	2	 1,168.79 	RESERVADO	Plus	355
	3	 1,120.39 	RESERVADO	Plus	355
	4	 1,069.30 	RESERVADO	Plus	355
	5	 1,069.30 	RESERVADO	Plus	355
	6	 1,069.30 	VENDIDO	Plus	355
	7	 1,588.75 	RESERVADO	Plus	355
	8	 2,102.34 	RESERVADO	Plus	355
	9	 1,890.02 	RESERVADO	Plus	355
	10	 1,794.36 	APARTADO	Plus	355
	11	 1,663.75 	VENDIDO	Plus	355
	12	 1,397.31 	VENDIDO	Plus	355
	13	 1,538.44 	RESERVADO	Plus	355
	14	 2,381.75 	RESERVADO	Plus	355
E	1	 3,240.83 	DISPONIBLE	Plus	355
